Anthropicaware,BDaware,DMaware,OAaware,AFaware,AGaware,CGPTaware,Ciceroaware,Claudeaware,GPT4aware,Sophiaaware,NNaware,TFaware,TSaware,Amariaware,SCaware,chatbottrust,LLMtrust,robottrust,gameAItrust,relativeLLMchatbottrust,trainingdatatrust,algorithmtrust,outputtrust,companytrust,engineertrust,governmenttrust,admiration,awe,pride,compassion,excitement,respect,AID1,AID2,AID3,AID4,AID5,RS1,RS2,RS3,RS4,RS5,RS6,RS7,RS8,RS9,SI1,SI2,SI3,SI4,PMC1,PMC3,PMC4,PMC8,PMC9,PMC10,PMC11,PMC12,PMC13,LLM1,LLM2,LLM3,MP1,MP2,MP3,MP4,owngoals,safegoals,upholding,selfaware,sitaware,selfcontrol,understanding,friendliness,power,ownmotives,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,F1,F11,chatGPTsentient,emergence,HLAIemergence,SIemergence,SF1,SF2,upload1,upload2,universe,YG1,YG2,YG3,YG4,MCA1,MCA2,MCEn1,MCEn2,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,age,gender,region,raceethnicity,education,income,zipcode,Pcode,religionRNR,dietMR,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,exp_prop,RS1_r,education_recode,age_recode,income_recode,weight
(6) definitely no,(6) definitely no,(5) no,(2) yes,(6) definitely no,(4) probably no,(1) definitely yes,(6) definitely no,(6) definitely no,(1) definitely yes,(5) no,(2) yes,(3) probably yes,(6) definitely no,(6) definitely no,(5) no,5,5,5,5,5,5.98,5.86,5.92,2.92,2.92,2.86,2.32,2.02,2.32,2.14,2.14,2.08,Not sure,Not sure,Yes,6,It's fine.,5,3,5,6,6,2,5,5,4,6,6,6,6,6,6,6,5,1,5,4,4,4,2,2,2,22,21,90,84,23,20,17,19,90,84,21,21,92,23,4,4,5,4,4,4,No,No,No,10,10,10,3,4,4.12,2,One with humans,Not very concerned,Very likely,Somewhat support,Somewhat support,6,5,6,7,(2) agree,No,No,No,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",1,2,2.36,Catholic,,Meat-eater,None,13.28,49,Female,South,Black,11,27500,35218,65,0,0,0,0,1,1,0,0,0.4,3,post_grad,35_54,25000_49999,0.961650956
(4) probably no,(3) probably yes,(3) probably yes,(3) probably yes,(5) no,(3) probably yes,(1) definitely yes,(6) definitely no,(4) probably no,(3) probably yes,(3) probably yes,(3) probably yes,(2) yes,(4) probably no,(2) yes,(3) probably yes,7,6,7,7,3,5.8,5.62,5.74,5.98,5.86,5.26,5.44,4.72,5.26,4.72,6.22,5.44,Yes,Yes,Yes,7,It's fine.,7,1,5,5,7,1,2,3,4,7,2,4,3,5,7,5,4,5,4,4,3,5,4,5,4,85,75,81,74,85,85,81,75,79,74,74,81,42,48,4,2,4,1,5,1,Yes,Yes,Yes,50,300,100,5,3,2.92,3,One with humans,Not very concerned,Not very likely,Strongly support,Somewhat support,7,6,7,5,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",4,2,3,Protestant,,Meat-eater,Thanks,12.25,38,Male,Northeast,Black,8,72500,8840,66,0,0,0,0,1,0,1,0,0.4,1,some_college,35_54,50000_74999,1.30327173
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,No opinion,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,6,6,7,6,6,5.38,5.32,5.08,5.08,4.96,5.26,5.08,4.9,5.2,4.9,5.2,5.32,Yes,Yes,Yes,6,It's too fast.,6,6,5,6,6,7,6,7,6,5,7,6,6,7,6,6,7,6,6,6,7,6,6,6,6,68,89,75,68,73,66,72,71,69,80,95,75,60,69,6,6,6,6,6,7,Yes,Not sure,Yes,2,1,1,6,7,5.02,6,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,6,6,6,7,(2) agree,Yes,No,No,"[""Had a conversation with a robot/AI""]",1,2,3.84,Hindu,,Vegetarian,,158.35,32,Female,West,Asian,10,22500,95334,67,0,1,0,0,1,0,0,0,0.2,2,bachelors,18_34,_24999,0.723508492
(5) no,(3) probably yes,(3) probably yes,(3) probably yes,(3) probably yes,(2) yes,(5) no,(3) probably yes,(2) yes,(2) yes,(4) probably no,(4) probably no,(1) definitely yes,(3) probably yes,(4) probably no,(5) no,5,5,5,6,5,5.14,6.94,6.4,5.44,5.5,3.46,5.92,6.28,5.02,1.72,5.62,3.04,Yes,Yes,Yes,6,It's too fast.,1,3,5,5,5,5,3,5,2,1,5,7,7,2,2,3,6,6,6,5,3,6,5,5,3,88,77,90,30,17,89,64,28,98,20,100,98,14,80,5,6,6,7,7,1,Yes,Yes,Yes,2023,2023,1,6,6,3.52,5,One with humans,Not very concerned,Not very likely,Strongly support,Somewhat support,7,7,7,7,(2) agree,Yes,Yes,Yes,"[""None of the above""]",0,2,3.4,Catholic,,Meat-eater,Nothing,11.33,38,Female,West,Asian,10,2500,96707,68,0,0,0,0,0,0,0,1,0,7,bachelors,35_54,_24999,0.72260367
(5) no,(5) no,(1) definitely yes,(2) yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(4) probably no,(5) no,(1) definitely yes,(5) no,(5) no,(5) no,(5) no,1,1,4,4,4,1,1,1,1,2.68,1,1,3.4,1,1.06,1.06,1.06,Yes,Yes,Yes,7,It's too fast.,6,1,1,7,7,1,1,1,1,7,7,7,7,4,4,2,4,4,4,1,1,4,4,4,4,1,0,1,70,74,0,1,0,0,0,1,0,0,0,4,4,4,4,4,1,No,No,No,50,50,50,7,6,1,1,One with humans,Not at all concerned,It is already more intelligent than people,Strongly support,Strongly support,7,7,7,7,(2) agree,No,No,No,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",0,5,1,Agnostic,,Meat-eater,This was a weird survey.,6.85,31,Female,South,Black,11,67500,20002,69,1,0,0,0,0,1,1,0,0.4,2,post_grad,18_34,50000_74999,0.953826561
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,4,4,4,4,4,3.28,4.54,2.38,2.5,3.34,2.2,4.96,4.78,3.04,1.48,5.2,2.68,Not sure,Not sure,Not sure,4,Not sure,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,6,4,4,3,3,67,58,41,56,15,19,64,3,59,23,24,12,4,4,4,4,4,4,Not sure,Not sure,Not sure,0,10,0,5,4,2.14,4,One with humans,Not very concerned,Not sure,Not sure,Not sure,4,4,4,5,(2) agree,No,No,Yes,"[""None of the above""]",0,1,2.16,Protestant,,Meat-eater,,36.92,57,Male,South,Black,8,47500,77053,70,0,0,0,0,0,0,0,1,0,4,some_college,55_,25000_49999,1.253162051
(3) probably yes,(3) probably yes,(2) yes,(4) probably no,(2) yes,(4) probably no,(3) probably yes,(1) definitely yes,(3) probably yes,(2) yes,(5) no,(3) probably yes,(2) yes,(3) probably yes,(2) yes,(4) probably no,3,5,5,4,7,4.9,5.38,5.56,4.66,6.1,5.74,5.86,3.28,5.5,6.22,5.14,5.86,Yes,No,Not sure,3,It's too fast.,5,5,2,6,2,1,6,6,6,5,5,5,1,5,2,5,7,5,5,5,6,5,7,2,6,84,80,84,79,78,81,72,82,74,65,80,82,81,77,7,2,2,2,6,3,No,No,No,5,3,4,6,7,3.34,7,One with humans,Somewhat concerned,Not at all likely,Strongly support,Somewhat support,5,7,7,6,(2) agree,Yes,No,No,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",3,3,1.04,Catholic,,Other restrictions,,9.73,39,Male,Northeast,Black,10,137500,19111,71,0,1,0,0,1,1,0,0,0.4,3,bachelors,35_54,100000_,1.050073977
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,5,6,6,6,6,4.66,4.84,4.96,4.84,4.66,2.32,4.36,5.56,4.24,4.18,5.62,4.24,Yes,Not sure,No,1,It's fine.,7,1,5,3,2,6,1,1,1,7,1,1,1,1,1,1,2,4,2,7,4,4,7,7,7,18,38,70,66,58,66,57,57,65,67,68,66,16,29,4,5,1,2,4,1,Yes,Yes,No,2,3,5,5,3,4,5,One with humans,Not at all concerned,Not very likely,Not sure,Not sure,6,2,7,7,(2) agree,No,No,Yes,"[""None of the above""]",0,1,1.28,Protestant,,Meat-eater,,24.88,51,Female,West,Black,8,42500,90712,72,0,0,0,0,0,0,0,1,0,1,some_college,35_54,25000_49999,1.091605372
(5) no,(5) no,(6) definitely no,(5) no,(5) no,(5) no,(1) definitely yes,(3) probably yes,(5) no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,3,4,3,5,3,4.12,4.36,4,2.2,5.92,4.6,4.18,4.66,3.7,4.06,4.78,4.24,No,Not sure,Yes,5,It's too fast.,6,1,2,6,6,2,2,3,3,3,5,5,5,3,5,6,6,6,6,6,5,6,7,7,7,28,38,91,57,37,55,51,29,56,29,40,57,13,38,5,4,4,4,4,3,No,Not sure,No,40,25,10,5,2,2.38,5,One with humans,Not very concerned,Not very likely,Somewhat support,Somewhat support,7,7,5,6,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,1.4,None,,Meat-eater,,13.05,23,Female,Northeast,Asian,10,42500,7307,73,1,0,0,0,0,0,1,0,0.2,2,bachelors,18_34,25000_49999,0.902497803
(1) definitely yes,(3) probably yes,No opinion,(1) definitely yes,(2) yes,(1) definitely yes,No opinion,No opinion,(2) yes,(1) definitely yes,(3) probably yes,(2) yes,(3) probably yes,No opinion,(6) definitely no,(2) yes,3,6,6,6,3,5.5,5.86,1.48,6.1,5.8,1.9,2.38,2.74,5.8,5.02,6.46,5.32,Not sure,Yes,Not sure,6,It's fine.,6,1,2,2,3,2,5,6,6,2,2,3,6,6,7,5,1,5,3,3,1,6,2,6,3,31,87,68,14,62,84,73,95,82,80,78,89,17,76,6,1,3,3,5,3,Yes,Yes,Not sure,1,3,0,5,2,4.84,6,One with humans,Somewhat concerned,Very likely,Strongly support,Somewhat support,6,6,2,6,(2) agree,Yes,No,No,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",1,4,3.52,Jain,,Vegetarian,,8.57,30,Female,Northeast,Asian,10,82500,8830,74,0,1,0,0,1,1,0,0,0.4,2,bachelors,18_34,75000_99999,0.884454703
(6) definitely no,(6) definitely no,(6) definitely no,(1) definitely yes,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,No opinion,2,2,3,5,3,3.64,4.24,4.6,2.14,3.4,1,4.6,4.6,3.1,3.22,3.1,3.82,No,No,Not sure,2,It's too fast.,2,3,6,6,6,2,5,6,3,7,5,6,6,6,6,6,5,2,6,3,2,3,5,5,5,25,31,88,89,65,44,41,59,82,90,42,59,61,67,5,3,5,3,5,2,No,Not sure,No,0,7,2,6,3,2.14,3,One with humans,Somewhat concerned,Very likely,Strongly support,Strongly support,7,7,3,2,(2) agree,No,No,No,"[""None of the above""]",0,1,5,Catholic,,Meat-eater,,11.37,60,Male,Northeast,Hispanic,10,57500,10465,75,0,0,0,0,0,0,0,1,0,6,bachelors,55_,50000_74999,1.015207012
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,1,1,7,1,7,5.92,5.8,5.8,5.86,5.62,5.74,5.92,5.86,5.92,5.74,5.8,5.92,Yes,Yes,Yes,7,It's fine.,6,6,6,3,6,6,5,6,6,6,6,6,6,2,2,1,1,6,6,5,2,3,1,5,3,77,69,73,76,71,71,75,68,91,74,65,65,72,73,3,2,1,3,6,5,Yes,Yes,Yes,1,1,1,2,2,7,2,One with humans,Not at all concerned,Not at all likely,Strongly oppose,Strongly support,7,2,5,5,(2) agree,Yes,No,Yes,"[""Saw a robot being physically abused or attacked by humans"",""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status""]",3,2,3.68,Jewish,,Meat-eater,Reward more,3.58,36,Male,Midwest,Hispanic,8,17500,60632,76,0,0,1,1,0,1,0,0,0.6,2,some_college,35_54,_24999,1.015853293
(5) no,(5) no,(6) definitely no,(5) no,(6) definitely no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,(6) definitely no,(6) definitely no,(5) no,(5) no,(5) no,6,6,6,6,7,4,4.54,2.86,3.16,4.78,4.72,4.3,4.12,4.3,4.96,4.6,4.24,Yes,Yes,Yes,6,Not sure,7,7,5,2,6,6,6,5,6,7,5,3,7,6,6,6,6,5,6,5,7,6,7,6,5,94,63,43,62,57,91,48,72,17,63,90,66,55,60,6,5,6,6,6,6,Yes,Not sure,No,1,1,1,2,6,4.36,3,One with humans,Not very concerned,It is already more intelligent than people,Somewhat support,Somewhat support,5,5,5,5,(2) agree,Yes,Yes,No,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",1,1,3.76,Other,Evangelical Christian,Meat-eater,Yes,3.92,24,Male,Northeast,Hispanic,5,27500,13063,77,0,0,0,1,1,0,1,0,0.6,1,high,18_34,25000_49999,1.199583377
No opinion,No opinion,(4) probably no,(2) yes,No opinion,(1) definitely yes,(4) probably no,No opinion,No opinion,(3) probably yes,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,3,5,6,5,5,5.26,4.66,3.82,4.84,5.02,4.54,5.92,4.9,4.18,4.78,5.8,5.08,Yes,No,Yes,5,Not sure,5,7,6,3,3,6,4,5,4,5,5,5,6,5,5,4,5,4,4,5,4,6,2,6,5,34,39,79,39,45,52,55,56,78,82,62,60,48,66,6,6,2,6,4,4,Yes,Yes,Not sure,0,0,0,5,3,4.42,6,One without humans,Not very concerned,Not sure,Somewhat support,Somewhat support,6,4,7,4,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI""]",3,2,1.24,Catholic,,Meat-eater,,13.77,27,Male,South,Black,10,87500,74135,78,0,0,0,1,1,0,0,0,0.4,3,bachelors,18_34,75000_99999,1.017366686
(5) no,(5) no,(2) yes,(1) definitely yes,(5) no,(5) no,(1) definitely yes,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,6,6,5,5,5,6.1,6.16,4.54,4.3,4.84,6.04,1.9,5.32,1.78,2.02,1.96,1.96,Not sure,No,Yes,6,It's too fast.,4,1,6,5,3,1,5,3,5,7,3,3,3,7,7,7,6,2,6,5,3,3,5,5,5,28,32,93,76,24,27,27,28,59,58,25,63,26,72,5,5,5,2,5,1,No,Yes,No,3,6,5,2,3,1,1,One with humans,Somewhat concerned,Somewhat likely,Somewhat support,Somewhat support,7,3,7,7,(2) agree,No,No,No,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",2,2,3,Muslim,,Other restrictions,,22.77,61,Male,West,Asian,11,225000,90620,79,0,1,0,0,1,0,1,0,0.4,4,post_grad,55_,100000_,1.02041536
(6) definitely no,(6) definitely no,(4) probably no,(4) probably no,(6) definitely no,(2) yes,(2) yes,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,3,2,2,5,5,4,2.86,2.8,2.86,4.66,4.6,2.26,4.48,3.1,1.06,4,2.2,No,No,No,5,It's too fast.,3,1,6,7,7,1,7,7,6,7,5,5,6,7,7,7,1,1,6,2,1,2,1,1,1,0,1,76,0,57,50,0,6,78,39,0,0,62,63,4,1,1,1,1,1,No,No,No,2,-1,5,2,1,1,1,One with humans,Not at all concerned,Not at all likely,Strongly support,Strongly support,7,7,7,7,(2) agree,No,No,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,1.36,Buddhist,,Other restrictions,Very enlightening survey.,28.58,72,Male,South,Black,10,52500,33322,80,0,1,0,0,0,0,1,0,0.2,5,bachelors,55_,50000_74999,1.007519577
(6) definitely no,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,2,1,1,1,1,1.6,1.66,1.36,2.02,1.48,1.3,1.72,2.02,1.66,2.86,1.54,1.54,No,No,Yes,7,It's too fast.,3,5,3,6,6,7,6,6,6,5,6,6,6,5,5,6,2,2,3,2,3,1,3,3,2,21,15,7,9,11,11,8,8,13,6,12,12,9,11,3,1,2,2,1,5,No,No,Yes,1,1,1,1,1,1.12,1,One with humans,Somewhat concerned,Somewhat likely,Strongly oppose,Somewhat support,7,6,7,7,(2) agree,No,No,No,"[""Had a conversation with a robot/AI"",""None of the above""]",1,1,1.88,Buddhist,,Other restrictions,Not applicable,4.68,40,Female,South,Hispanic,9,52500,75243,81,0,1,0,0,1,0,0,1,0.2,5,associates,35_54,50000_74999,0.882053198
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,1,4,4,4,4,1.48,1.36,1.3,1.48,1.66,1.48,1.66,1.66,1.6,1.6,1.48,1.66,Not sure,Not sure,Yes,5,Not sure,4,3,5,7,7,1,7,5,1,5,5,5,5,5,5,5,1,1,1,1,4,1,7,4,4,6,6,9,10,5,8,8,8,10,5,8,8,5,5,4,4,4,4,4,4,Not sure,Not sure,Not sure,0,0,0,5,5,1.66,3,One with humans,Not very concerned,Somewhat likely,Somewhat support,Not sure,7,7,7,7,(2) agree,No,No,No,"[""None of the above""]",0,0,2.84,Protestant,,Meat-eater,,24.35,73,Female,South,Black,8,27500,30038,82,0,0,0,0,0,0,0,1,0,4,some_college,55_,25000_49999,1.088759158
(5) no,(5) no,(5) no,(3) probably yes,(5) no,(4) probably no,(3) probably yes,(3) probably yes,(5) no,(5) no,(5) no,(4) probably no,(5) no,(3) probably yes,(5) no,(5) no,3,3,4,5,4,2.56,4.24,3.7,3.22,3.7,2.74,4.12,2.02,3.1,1.9,4.72,4.72,Not sure,No,Yes,6,It's fine.,2,1,7,3,5,2,3,2,1,5,3,7,7,7,6,7,3,1,6,3,1,3,5,3,1,67,28,66,27,28,32,19,29,34,27,26,26,39,61,1,1,3,3,2,5,No,Yes,Not sure,0,12,5,1,3,1.96,1,One with humans,Not sure,Not very likely,Somewhat support,Strongly support,3,3,6,7,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",0,1,3,Protestant,,Meat-eater,,43.05,67,Female,South,Black,11,87500,30075,83,0,0,0,0,1,0,1,0,0.4,6,post_grad,55_,75000_99999,0.924458307
(3) probably yes,(2) yes,(2) yes,(3) probably yes,(3) probably yes,(2) yes,(1) definitely yes,(4) probably no,(4) probably no,(2) yes,(4) probably no,(1) definitely yes,(5) no,(3) probably yes,(3) probably yes,(3) probably yes,7,7,6,7,6,6.94,5.62,6.04,5.86,6.94,6.94,5.98,4.66,5.92,4.78,6.28,6.76,Yes,Yes,Yes,7,It's fine.,7,1,7,3,3,5,3,3,7,3,1,1,1,3,3,3,5,3,3,5,2,5,7,7,7,65,80,81,90,24,89,82,51,66,17,97,92,41,100,5,5,1,1,1,5,No,Yes,No,10,16,20,7,3,6.64,7,One with humans,Very concerned,Very likely,Somewhat support,Somewhat support,7,7,7,7,(2) agree,No,No,Yes,"[""None of the above""]",0,4,2.88,Catholic,,Meat-eater,Thanks this survey were well put together.,13.28,41,Male,South,Hispanic,9,52500,28311,84,0,0,0,0,0,0,0,1,0,1,associates,35_54,50000_74999,1.015243442
(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(4) probably no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(6) definitely no,(3) probably yes,(6) definitely no,(6) definitely no,(6) definitely no,1,1,1,1,3,1,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1,1.06,1,1,No,No,Yes,7,It's too fast.,1,5,3,7,7,1,7,7,5,4,7,7,7,7,7,7,4,1,4,4,4,4,4,4,4,1,1,0,1,1,1,1,1,1,0,0,1,1,1,4,1,4,7,4,4,No,No,No,10,10,10,2,1,1.06,1,One with humans,Not very concerned,Not at all likely,Strongly support,Strongly support,7,6,6,6,(2) agree,No,No,No,"[""None of the above""]",0,0,3.24,Catholic,,Meat-eater,,8621.13,74,Female,West,Hispanic,7,97500,92108,85,0,0,0,0,0,0,0,1,0,7,some_college,55_,75000_99999,1.026778949
(3) probably yes,(3) probably yes,(3) probably yes,No opinion,(5) no,(4) probably no,(3) probably yes,(5) no,(5) no,(5) no,(5) no,(3) probably yes,No opinion,(4) probably no,(5) no,(3) probably yes,3,4,4,4,4,2.32,3.34,3.28,2.44,4.12,2.26,5.38,5.5,4,5.08,5.38,5.38,Not sure,Not sure,Not sure,4,Not sure,4,4,4,3,3,5,2,2,4,4,4,4,4,3,3,3,4,4,4,4,2,4,4,4,4,23,13,41,21,21,15,17,19,20,16,21,50,18,23,4,4,4,4,4,4,Not sure,Not sure,Not sure,50,200,100,5,4,2.38,4,One with humans,Not sure,Not sure,Strongly oppose,Strongly oppose,5,4,6,4,(2) agree,No,No,No,"[""None of the above""]",0,1,2.92,None,,Meat-eater,,22.42,28,Male,Midwest,Asian,10,67500,53212,86,1,0,0,0,0,0,0,1,0,4,bachelors,18_34,50000_74999,0.967409175
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(4) probably no,(5) no,(5) no,(5) no,(5) no,3,3,2,3,2,4.9,3.22,2.68,4.66,1.12,5.62,2.32,1.96,2.32,2.26,3.52,1.48,Not sure,Not sure,No,5,It's too fast.,3,3,5,5,5,2,3,2,2,6,3,5,5,3,3,3,2,2,2,2,2,2,5,5,2,25,31,24,36,20,31,9,34,35,17,40,40,58,29,3,3,3,2,5,2,No,Not sure,No,8,10,12,6,3,6.04,2,One with humans,Somewhat concerned,Not at all likely,Somewhat oppose,Somewhat support,2,2,2,5,(2) agree,No,No,No,"[""None of the above""]",0,0,4,Protestant,,Meat-eater,,50.68,64,Male,West,Black,5,137500,89085,87,0,0,0,0,0,0,0,1,0,5,high,55_,100000_,1.128122202
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,5,5,5,3,4,4.42,4.3,4.6,4.3,4.48,4.12,4.48,3.76,4.24,4.3,5.14,4.3,Not sure,Not sure,Not sure,4,It's fine.,5,4,7,3,3,4,4,4,3,5,3,3,3,4,4,4,4,4,4,4,5,4,6,4,4,59,60,76,58,63,64,60,70,83,59,62,60,79,61,5,4,4,4,4,4,Not sure,Not sure,Not sure,5,10,5,3,3,4.36,6,One with humans,Not very concerned,Not very likely,Not sure,Not sure,6,6,6,6,(2) agree,No,No,No,"[""None of the above""]",1,1,2.4,Buddhist,,Meat-eater,,11.27,63,Female,Northeast,Asian,11,17500,10605,88,0,0,0,0,0,0,0,1,0,3,post_grad,55_,_24999,0.792344935
(2) yes,(6) definitely no,(2) yes,(2) yes,(6) definitely no,(2) yes,(2) yes,(2) yes,(6) definitely no,(6) definitely no,(5) no,(2) yes,(2) yes,(5) no,(6) definitely no,(6) definitely no,3,1,1,1,3,1.72,1.36,2.08,1.9,2.5,2.26,1.78,2.14,1.84,1.78,2.14,1.78,No,No,Yes,7,It's too fast.,2,5,7,7,7,1,7,7,7,7,5,6,6,7,7,7,4,4,4,4,4,4,4,4,4,21,23,23,22,22,23,22,25,26,23,22,26,20,24,6,4,6,7,7,6,Not sure,No,No,1,1,1,1,5,1.6,1,One without humans,Not very concerned,Somewhat likely,Strongly support,Strongly support,7,5,5,5,(2) agree,No,No,No,"[""None of the above""]",3,3,2.6,Buddhist,,Other restrictions,Weird survey,12.12,31,Female,Midwest,Black,11,87500,61826,89,0,1,0,0,0,0,0,1,0,6,post_grad,18_34,75000_99999,0.913545589
(2) yes,(5) no,(2) yes,(5) no,(6) definitely no,(5) no,(5) no,(6) definitely no,No opinion,(5) no,(1) definitely yes,(2) yes,(2) yes,(5) no,(5) no,(2) yes,3,3,3,2,2,4.48,3.04,4.54,3.88,5.08,3.4,2.02,1.24,1.3,1.78,1.96,2.2,Yes,Not sure,Not sure,7,It's too fast.,3,3,6,7,7,1,7,7,6,6,5,6,6,6,6,6,2,2,6,1,4,1,5,2,5,31,17,28,46,30,28,34,35,30,23,39,36,51,37,1,1,4,3,5,3,Not sure,No,Not sure,20,5,1,1,2,1.72,2,One with humans,Very concerned,Somewhat likely,Strongly support,Strongly support,5,5,6,6,(2) agree,No,No,No,"[""Had a conversation with a family member or friend about robots/AIs""]",0,0,1.92,Protestant,,Meat-eater,,17.47,72,Female,Northeast,Black,11,112500,7724,90,0,0,0,0,0,0,1,0,0.2,5,post_grad,55_,100000_,0.955373482
(3) probably yes,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(6) definitely no,(5) no,(6) definitely no,(4) probably no,(5) no,(6) definitely no,(6) definitely no,(2) yes,(6) definitely no,(5) no,(5) no,5,5,5,5,5,5.08,5.62,5.32,5.2,5.2,4.06,4.9,3.82,2.92,1,5.26,4.66,No,Not sure,No,3,It's too fast.,5,2,3,3,3,3,3,5,5,6,2,5,5,5,5,3,5,1,5,5,1,3,5,3,2,20,22,64,70,26,72,25,32,54,87,39,71,34,22,5,1,6,6,3,2,No,Not sure,Not sure,3,5,5,5,5,4.24,5,One with humans,Not very concerned,Not very likely,Somewhat oppose,Somewhat support,3,5,3,6,(2) agree,Yes,No,Yes,"[""None of the above""]",4,1,4.28,Protestant,,Meat-eater,,14.03,58,Female,West,Hispanic,8,112500,89521,91,0,0,0,0,0,0,0,1,0,3,some_college,55_,100000_,1.030393534
(5) no,(5) no,(5) no,(5) no,(5) no,(5) no,(2) yes,(5) no,(5) no,(5) no,(5) no,(5) no,(3) probably yes,(5) no,(2) yes,(5) no,5,5,1,5,4,1.18,1.18,1.12,1.36,1.24,1.3,1.12,1.24,1.12,1,1.24,1.18,No,Yes,Yes,7,It's too fast.,7,7,1,7,7,1,7,7,7,4,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,50,50,59,49,51,49,47,56,50,12,52,54,5,53,7,4,7,1,7,1,Yes,No,No,10,20,10,5,4,1,1,One with humans,Very concerned,Very likely,Strongly support,Strongly support,7,7,7,7,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans""]",5,5,3,Catholic,,Other restrictions,Tha,12.28,51,Female,South,Hispanic,8,72500,33405,92,0,1,0,1,0,0,0,0,0.2,1,some_college,35_54,50000_74999,1.075824193
