PMC1,PMC2,PMC3,PMC4,PMC5,PMC6,PMC7,PMC8,PMC9,PMC10,PMC11,PMC12,MCE1,MCE2,MCE3,MCE4,MCE5,MCE6,MCE7,MCE8,MCE9,MCE21,MCE22,MCE23,MCE24,MCE25,MCE26,MCE27,MCE28,MCE29,MCE30,MCE31,MP1,MP2,MP3,MP4,SI1,SI2,SI3,SI4,SI6,SI7,SI8,SI9,SI10,SI11,SI12,SI13,SI14,SI15,SI16,F1,F11,F2,F3,F4,F5,F6,F7,F8,F9,F10,MCA1,MCA2,MCEn1,MCEn2,Norm,TA1,TA2,Sub1,Sub2,Anth1,Anth2,Anth3,Anth4,attention,own,work,smart,exper,fint,fexp,politics,religion,relelse,diet,feedback,minutes,progress,age,gender,region,raceethnicity,education,income,Pcode,exp_seen_abuse,exp_video_abuse,exp_conv_robot,exp_book_article,exp_conv_friend,exp_none,religionRNR,dietMR,exp_prop,PMC1nr,PMC2nr,PMC3nr,PMC4nr,PMC5nr,PMC6nr,PMC7nr,PMC8nr,PMC9nr,PMC10nr,PMC11nr,PMC12nr,MCE1nr,MCE2nr,MCE3nr,MCE4nr,MCE5nr,MCE6nr,MCE7nr,MCE8nr,MCE9nr,SI1nr,SI2nr,SI3nr,SI4nr,MCA1nr,MCA2nr,MCEn1nr,MCEn2nr,education_recode,age_recode,income_recode,weight
1,5,1,2,6,6,7,7,7,6,7,6,7,7,7,6,7,5,7,7,6,5,5,5,5,4.52,4.72,4.48,4.12,5,5,5,71,65,95,90,1,2,2,3,7,6,7,6,5,5,5,6,6,7,7,Yes,Yes,0,0,100,1.12,1,1.24,5,5,5,6,6,6,6,6.46,3.7,7,1,1.42,0,0,10,0,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,4,3.84,Protestant,,Meat-eater,,6.72,0.923076923,24,Female,Midwest,Hispanic,10,67500,117,0,1,1,1,1,0,0,0,0.8,1,4,1,2,5,5,6,6,6,5,6,5,6,6,6,5,6,4,6,6,5,1,2,2,3,5,5,5,5,bachelors,18_34,50000_74999,0.879765445
3,5,3,3,5,5,5,5,5,5,5,5,6,5,5,5,5,3,5,5,5,3.2,3.32,3.84,3.88,3.56,3.2,3.48,3.6,3.8,3.68,2.32,61,64,65,63,3,3,5,5,4,4,5,6,6,5,2,7,6,6,3,No,Not sure,50,50,50,3.6,3.2,4,3,3.72,3.68,5,5,5,5,3.64,3.64,3.76,5.26,3.76,5.4,5.6,5.5,5.5,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3,Protestant,,Meat-eater,,9.02,0.923076923,33,Male,Midwest,White,5,137500,118,0,0,0,0,0,1,0,0,0,3,4,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,high,18_34,100000_,1.390727135
1,1,1,1,4,2,7,6,7,1,7,7,7,6,7,4,7,5,6,7,7,3.52,2.56,2.28,2.32,1.88,2.24,2.52,2,1.96,3.44,2.44,55,62,75,59,5,3,5,3,5,1,5,2,3,3,4,5,5,3,4,Yes,Yes,5,10,87,3.96,2.68,4,4.12,3.72,2.44,7,7,7,7,4.42,3.22,3.28,4.54,4.54,4.4,5.9,5.7,6.6,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans""]",0,2,3.56,Catholic,,Meat-eater,None,9.57,0.923076923,38,Male,Northeast,Hispanic,9,32500,119,0,1,0,0,0,0,0,0,0.2,1,1,1,1,,2,6,5,6,1,6,6,6,5,6,,6,4,5,6,6,4,3,4,3,6,6,6,6,associates,35_54,25000_49999,0.867362532
5,6,5,4,4,4,6,4,2,7,4,5,4,4,6,5,7,1,6,4,6,1.52,1,4.12,1.48,4.92,1,1,1.24,2.64,4.68,3.64,0,5,85,80,4,3,5,5,2,1,1,1,1,2,1,2,2,1,5,No,Yes,100,1,3,1,1.12,1,1,1.44,1.04,7,2,7,7,1.72,1,2.2,1.3,1,0.2,1.7,4.4,1.5,(2) agree,No,No,Yes,"[""None of the above""]",0,1,1.08,None,,Meat-eater,,9,0.923076923,29,Female,Midwest,Hispanic,5,32500,120,0,0,0,0,0,1,1,0,0,4,5,4,,,,5,,2,6,,4,,,5,4,6,1,5,,5,,3,4,4,6,2,6,6,high,18_34,25000_49999,0.942386087
7,1,7,7,4,4,6,4,2,6,4,4,6,4,1,4,6,1,4,1,6,3.72,3.8,3.24,1.84,1.68,1.16,2.52,1,3.6,4,1.44,17,4,67,56,7,4,5,5,6,7,5,4,6,3,7,2,7,6,2,No,Yes,50,30,68,4.4,4,4.08,3.88,3.96,4.08,7,7,7,7,5.8,1.36,5.14,2.5,1.66,2,0,1,1.4,(2) agree,No,No,Yes,"[""None of the above""]",1,2,1.88,Atheist,,Meat-eater,,10.85,0.923076923,35,Female,West,Hispanic,8,47500,121,0,0,0,0,0,1,1,0,0,6,1,6,6,,,5,,2,5,,,5,,1,,5,1,,1,5,6,,4,4,6,6,6,6,some_college,35_54,25000_49999,1.039479912
6,6,6,6,2,2,2,2,2,6,6,6,3,2,2,2,2,6,2,2,2,3.76,3.88,3.68,3.84,4.16,3.72,3.96,4.12,3.96,3.48,4.04,22,16,36,41,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,Not sure,Not sure,0,0,66,4.28,4.08,3.96,3.8,4.12,4,6,6,6,6,5.5,5.26,5.68,5.08,4.96,1.3,7.6,3.2,3,(2) agree,No,No,Yes,"[""Saw a robot being physically abused or attacked by humans"",""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status""]",0,2,2.92,Protestant,,Meat-eater,,10.58,0.923076923,35,Male,South,Hispanic,10,67500,122,1,1,0,1,0,0,0,0,0.6,5,5,5,5,2,2,2,2,2,5,5,5,3,2,2,2,2,5,2,2,2,5,5,5,5,5,5,5,5,bachelors,35_54,50000_74999,1.029982706
6,6,6,6,6,7,6,6,6,6,6,7,7,7,5,7,6,7,7,6,7,4.16,4.48,3.8,4.32,3.32,4,4.68,3.44,4.08,4.72,4.08,100,98,100,100,7,6,7,6,5,7,6,5,6,6,7,7,7,6,7,Yes,Not sure,0,1,100,4.52,1,4.64,4.52,4.32,4.92,7,5,5,5,3.04,6.22,5.62,6.58,6.76,9.3,8.1,8.3,9.5,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a robot/AI"",""Had a conversation with a family member or friend about robots/AIs""]",5,4,1,Catholic,,Meat-eater,great,12.67,0.923076923,42,Male,South,White,10,62500,123,0,0,1,0,1,0,0,0,0.4,5,5,5,5,5,6,5,5,5,5,5,6,6,6,4,6,5,6,6,5,6,6,5,6,5,6,4,4,4,bachelors,35_54,50000_74999,0.926586147
5,5,3,5,5,5,5,3,3,1,5,5,3,3,5,3,5,6,5,5,3,3.36,2.36,3.52,3.52,2.8,3.44,3.6,2.48,3.4,3.52,3.16,86,79,58,83,5,5,5,5,3,6,1,1,6,6,6,1,3,4,6,No,Not sure,0,0,74,2.56,2.72,3.76,2.68,3.76,3.48,7,7,7,7,1,3.1,5.14,5.08,4.48,3.1,3.4,4,4,(2) agree,No,No,Yes,"[""None of the above""]",0,0,2.6,Catholic,,Meat-eater,,13.08,0.923076923,70,Female,Northeast,Hispanic,11,47500,124,0,0,0,0,0,1,0,0,0,4,4,3,4,4,4,4,3,3,1,4,4,3,3,4,3,4,5,4,4,3,4,4,4,4,6,6,6,6,post_grad,55_,25000_49999,0.741091411
6,6,5,6,6,6,6,6,6,6,6,6,7,5,7,7,6,5,6,6,6,4.04,4.32,4.04,4.04,4.12,4.04,4.24,4.24,3.52,4.24,4.16,31,30,68,63,6,6,6,7,5,5,4,4,6,6,5,6,3,6,4,No,No,2,3,23,1.88,1.88,2.36,1.8,3.88,2.24,7,6,7,6,2.8,3.34,4.96,4.72,2.68,6,2.2,2.4,3.4,(2) agree,No,No,No,"[""None of the above""]",0,0,2.2,Agnostic,,Meat-eater,,7.53,0.923076923,82,Male,West,Hispanic,13,37500,125,0,0,0,0,0,1,1,0,0,5,5,4,5,5,5,5,5,5,5,5,5,6,4,6,6,5,4,5,5,5,5,5,5,6,6,5,6,5,post_grad,55_,25000_49999,0.889108501
7,4,7,7,7,7,3,1,1,4,1,4,4,1,4,4,4,1,4,4,4,3.72,3.16,4.04,4.24,3.52,2.56,1,2.68,3.4,1.04,1.04,13,1,13,2,1,5,7,7,5,4,3,3,6,4,1,5,3,1,1,Not sure,No,5,3,80,4.88,4.6,4.88,4.2,2.12,2.72,7,2,7,7,5.74,5.62,4.48,6.82,1.06,2.9,7.2,2.9,5.7,(2) agree,Yes,No,No,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",5,1,1.4,Protestant,,Pescatarian,,15.3,0.923076923,54,Female,Northeast,Black,10,2500,126,0,0,0,1,1,0,0,1,0.4,6,,6,6,6,6,3,1,1,,1,,,1,,,,1,,,,1,4,6,6,6,2,6,6,bachelors,35_54,_24999,0.494227908
5,5,4,4,5,7,5,5,3,6,5,5,5,5,6,6,6,3,6,6,5,4.2,2.68,3.64,2.2,2.8,2.32,1.88,2.04,2.28,3.24,2.4,57,51,65,70,5,5,5,6,6,2,3,4,2,5,2,4,4,4,2,Not sure,Yes,10,5,88,3.6,3.32,3.64,2.76,3.64,2.2,6,3,6,6,3.46,4.3,4.3,4.66,3.28,4.3,4,6.2,3.8,(2) agree,No,Yes,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",1,1,2,Atheist,,Meat-eater,,11.08,0.923076923,28,Male,West,Hispanic,10,17500,127,0,1,1,1,0,0,1,0,0.6,4,4,,,4,6,4,4,3,5,4,4,4,4,5,5,5,3,5,5,4,4,4,4,5,5,3,5,5,bachelors,18_34,_24999,0.726880226
5,5,5,5,3,3,6,5,3,5,6,5,5,3,5,6,3,3,6,6,6,3.64,2.56,3.64,3.76,3.68,3.12,2.4,2.76,2.44,2.68,3.4,68,66,43,60,3,3,3,1,7,7,5,6,7,6,6,5,7,5,7,Not sure,Yes,0,1,67,2.64,2.64,3.36,3.32,3.6,2.8,7,1,5,2,3.34,4.36,3.76,3.34,2.92,4.1,5.7,6.3,4.2,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI""]",1,1,3.76,Catholic,,Meat-eater,,9.88,0.923076923,49,Female,South,Hispanic,9,37500,128,0,0,1,0,0,0,0,0,0.2,4,4,4,4,3,3,5,4,3,4,5,4,4,3,4,5,3,3,5,5,5,3,3,3,1,6,1,4,2,associates,35_54,25000_49999,0.708728809
1,5,1,2,4,4,5,5,5,5,5,5,5,5,6,2,6,6,6,5,6,4.32,4.44,3.84,4.08,3.52,4.08,3.8,3.92,4.32,4.48,4.32,58,60,87,69,4,2,2,2,6,5,5,4,4,6,5,5,6,5,5,No,Not sure,50,50,66,4.16,2.56,2.28,3.68,3.76,3.36,6,6,6,7,3.34,2.92,2.92,2.74,3.58,3,2.9,3.8,3.7,(2) agree,Yes,No,Yes,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",1,2,2.88,Protestant,,Pescatarian,,17.68,0.948717949,32,Male,Midwest,Hispanic,8,77500,129,0,0,1,1,0,0,0,1,0.4,1,4,1,2,,,4,4,4,4,4,4,4,4,5,2,5,5,5,4,5,,2,2,2,5,5,5,6,some_college,18_34,75000_99999,1.518317316
7,5,6,5,6,6,7,6,5,6,5,3,7,5,6,6,6,1,5,5,6,4.76,4.36,1.12,3.88,4.24,4.44,4.28,3.8,4.04,3.64,3.76,74,95,76,83,6,5,5,5,2,2,2,1,1,2,3,2,2,3,2,No,Yes,0,1,70,4.52,4.76,5,4.48,3.76,4.36,6,6,5,7,6.58,6.22,6.16,6.1,6.82,8.9,9.2,9.1,8.8,(2) agree,No,Yes,No,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Read a book or article that discussed AI ethics or moral status""]",1,2,4.04,Jewish,Christian,Pescatarian,None what so ever,14.7,0.923076923,20,Female,South,Hispanic,3,17500,130,0,1,0,1,0,0,0,1,0.4,6,4,5,4,5,5,6,5,4,5,4,3,6,4,5,5,5,1,4,4,5,5,4,4,4,5,5,4,6,less_than_high,18_34,_24999,0.909159459
5,3,3,5,3,3,5,3,3,2,3,2,3,3,3,3,3,3,1,2,2,3.56,2.48,3.4,3.36,3.68,3.84,4.04,2.52,3.44,3.68,3.84,63,60,63,63,7,6,5,5,2,1,1,2,4,1,2,3,1,2,2,No,No,1,1,25,3.52,3.56,3.52,2.6,3.04,2.96,2,2,2,2,4.12,4.54,4.72,4.66,3.46,3.9,4.9,4.2,6.7,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.52,Catholic,,Meat-eater,,8.83,0.923076923,43,Male,South,Hispanic,10,112500,131,0,0,0,0,0,1,0,0,0,4,3,3,4,3,3,4,3,3,2,3,2,3,3,3,3,3,3,1,2,2,6,5,4,4,2,2,2,2,bachelors,35_54,100000_,1.089315448
7,2,7,7,4,4,7,2,1,4,1,1,4,2,1,1,2,2,6,4,7,4.16,4.16,4.28,2.4,2.56,3.56,4.04,2.36,3,3.6,4.2,45,41,42,40,7,3,7,6,1,1,3,4,2,1,1,6,2,1,1,No,No,7,10,68,4,3,4.12,4.16,2.4,4,7,7,7,7,5.8,2.5,3.4,5.68,2.86,4.5,4.7,4.3,4.3,(2) agree,No,No,Yes,"[""None of the above""]",0,0,1.68,Catholic,,Meat-eater,,12.8,0.923076923,70,Female,South,Hispanic,10,22500,132,0,0,0,0,0,1,0,0,0,6,2,6,6,,,6,2,1,,1,1,,2,1,1,2,2,5,,6,6,3,6,5,6,6,6,6,bachelors,55_,_24999,0.574375884
7,7,7,7,3,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1.08,1.08,1.04,1.04,1.2,1.12,1.08,4.96,1.16,1.08,1,7,3,5,1,7,7,6,7,1,1,1,1,1,1,1,1,1,1,1,Yes,Yes,20,20,14,1,1,1,1,1,1.04,7,7,7,7,6.52,1,1,6.7,6.64,1.2,2.2,0.5,1.5,(2) agree,No,No,Yes,"[""None of the above""]",2,0,3,Catholic,,Meat-eater,,27.17,0.923076923,49,Female,South,Hispanic,9,22500,133,0,0,0,0,0,1,0,0,0,6,6,6,6,3,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,6,6,5,6,6,6,6,6,associates,35_54,_24999,0.609721516
1,1,2,1,7,1,7,7,7,2,7,7,7,7,7,6,7,7,7,7,2,4.2,4.56,4.52,4.36,4.68,4.44,4.12,4.72,4.24,4.44,4.36,100,97,94,87,6,1,1,1,7,7,7,6,7,7,7,7,7,7,7,Yes,No,6,7,90,4.4,4.28,4.36,4.36,4.4,4.52,7,7,7,7,6.7,6.46,6.04,6.16,6.34,8.5,8.3,8.9,8.9,(2) agree,No,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",4,4,2.04,Catholic,,Meat-eater,Excellent survey very informative,23.7,0.923076923,36,Male,Northeast,Hispanic,5,12500,134,0,1,1,1,1,0,0,0,0.8,1,1,2,1,6,1,6,6,6,2,6,6,6,6,6,5,6,6,6,6,2,5,1,1,1,6,6,6,6,high,35_54,_24999,0.964808745
4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,3.76,3.68,3.84,2.28,2.28,2.16,3.52,2.08,2.2,3.6,4.28,8,9,58,37,4,1,2,2,3,2,2,1,1,1,5,1,5,5,2,Not sure,Not sure,0,-1,85,2.24,2.28,3.6,2.28,3.44,3.52,6,5,6,5,2.98,3.16,5.2,2.8,2.62,3.7,3.7,3.1,2.8,(2) agree,No,No,Yes,"[""None of the above""]",1,1,1,None,,Other restrictions,,9.65,0.923076923,46,Female,West,Hispanic,10,77500,135,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,1,,,,,,1,,,,,1,2,2,5,4,5,4,bachelors,35_54,75000_99999,0.803668643
4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,6,4,4,3.32,3.56,3.24,3.04,3.28,2.92,3.64,2.96,3.32,3.48,3.6,79,81,88,71,2,2,6,6,5,5,4,4,4,5,5,6,4,4,5,No,Not sure,5,5,63,3.04,3.16,2.68,2.84,3.2,2.84,5,5,3,5,4.42,3.76,3.58,4.36,4.06,4.2,4.6,5.2,5.8,(2) agree,Yes,No,Yes,"[""None of the above""]",4,0,1.04,Protestant,,Pescatarian,,24.95,0.923076923,22,Male,South,Hispanic,10,42500,136,0,0,0,0,0,1,0,1,0,,,,,,,,,3,,,,,,,,,,5,,,2,2,5,5,4,4,3,4,bachelors,18_34,25000_49999,0.834167395
7,7,7,7,7,7,6,6,5,6,6,1,7,4,4,6,7,1,7,5,7,5,4.36,5,5,5,4.56,4.32,1.56,4.72,5,5,99,96,94,94,1,5,6,6,5,4,2,3,3,3,3,1,6,3,2,Not sure,Not sure,1,1,100,4.8,4.76,2.76,4.68,4.8,5,7,7,7,7,1.42,5.92,6.34,1.96,5.86,9.5,9.6,8.2,9,(2) agree,No,No,No,"[""None of the above""]",0,0,2.76,Catholic,,Pescatarian,,14.8,0.923076923,41,Female,South,Hispanic,5,47500,137,0,0,0,0,0,1,0,1,0,6,6,6,6,6,6,5,5,4,5,5,1,6,,,5,6,1,6,4,6,1,4,5,5,6,6,6,6,high,35_54,25000_49999,0.916366548
2,2,2,2,4,4,4,2,4,2,2,2,4,2,2,2,4,2,4,4,4,3.44,3.56,3.44,3.16,3.56,1.68,2.24,1.72,3.4,2.36,2.04,19,14,72,49,6,2,2,2,3,1,1,1,1,3,5,4,3,2,2,Yes,Yes,50,100,78,1.8,1.76,4.04,1.84,1.76,3.64,6,6,6,6,5.98,1.78,6.22,6.16,6.1,0.9,0.9,0.6,1.1,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a family member or friend about robots/AIs""]",0,2,3.04,None,,Meat-eater,no comments,9.03,0.923076923,38,Male,Northeast,Black,9,77500,138,0,0,0,0,1,0,1,0,0.2,2,2,2,2,,,,2,,2,2,2,,2,2,2,,2,,,,5,2,2,2,5,5,5,5,associates,35_54,75000_99999,0.882072869
3,5,5,5,5,5,5,5,5,5,5,3,6,5,3,5,3,5,5,5,5,3.4,2.8,3.76,3.28,3.96,4.04,4.6,3.4,2.64,3.48,2.48,44,47,92,81,5,3,5,5,5,6,4,7,6,5,6,6,6,3,3,No,Not sure,30,50,65,3.76,3.52,2.76,3.24,3.64,2.72,5,5,6,6,5.02,3.28,4.48,3.52,4.66,5.7,6.6,7.8,4.5,(2) agree,No,No,No,"[""None of the above""]",0,1,3.72,None,,Meat-eater,none,6.9,0.923076923,57,Female,West,Asian,10,112500,139,0,0,0,0,0,1,1,0,0,3,4,4,4,4,4,4,4,4,4,4,3,5,4,3,4,3,4,4,4,4,4,3,4,4,4,4,5,5,bachelors,55_,100000_,0.866003465
3,3,3,3,3,1,5,5,5,5,3,5,6,5,6,6,3,3,5,5,5,3.64,2.88,2.56,2.64,2.52,2.52,2.64,2.48,2.6,2.48,2.76,34,32,61,65,5,3,3,3,3,3,4,4,5,4,3,3,4,2,2,No,Yes,2,4,93,3.36,3.68,3.84,3.8,3.76,2.76,5,2,5,5,5.5,1.9,3.82,3.94,2.98,6.3,5.5,5.6,5.5,(2) agree,No,No,No,"[""Had a conversation with a family member or friend about robots/AIs""]",0,1,2.76,Catholic,,Meat-eater,The survey was great,11.43,0.923076923,35,Male,West,Hispanic,5,2500,140,0,0,0,0,1,0,0,0,0.2,3,3,3,3,3,1,4,4,4,4,3,4,5,4,5,5,3,3,4,4,4,4,3,3,3,4,2,4,4,high,35_54,_24999,0.961394299
6,6,6,6,3,5,7,7,7,6,7,5,7,6,6,6,7,5,7,6,2,4.28,1.08,4.96,1.08,3.84,3.96,3.96,1.8,4.24,3.84,2,98,99,41,39,3,3,5,5,5,5,5,5,4,6,3,6,6,5,4,Yes,Not sure,10,5,100,1.12,1.08,5,5,5,5,7,6,7,7,5.14,2.86,5.74,2.74,5.62,7.5,4.6,6.9,8.9,(2) agree,No,No,Yes,"[""None of the above""]",1,0,3.08,Catholic,,Other restrictions,,35.27,0.923076923,70,Female,South,Hispanic,8,72500,141,0,0,0,0,0,1,0,1,0,5,5,5,5,3,4,6,6,6,5,6,4,6,5,5,5,6,4,6,5,2,3,3,4,4,6,5,6,6,some_college,55_,50000_74999,1.329281546
5,7,6,5,6,5,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,3.72,3.96,3.8,3.8,3.36,3.52,3.64,3.6,3.6,2.64,2.36,85,68,74,63,6,6,5,5,5,6,4,4,3,5,5,6,7,7,4,Not sure,Yes,6,3,77,3.32,2.68,3.16,3.28,3.16,3.24,6,3,6,5,4.66,4.72,4.48,5.02,4.78,6.3,5.9,6.7,6.3,(2) agree,No,No,Yes,"[""None of the above""]",4,0,2.6,Protestant,,Meat-eater,,9.45,0.923076923,43,Female,Northeast,Black,10,77500,142,0,0,0,0,0,1,0,0,0,4,6,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,5,4,bachelors,35_54,75000_99999,0.686433034
5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,7,4,4.08,4.08,3.84,3.64,3.44,3.52,3.56,4,3.44,3.28,74,68,81,92,5,7,7,7,6,5,5,5,5,5,6,6,6,6,4,Yes,Yes,6,10,100,4.44,4.04,3.56,4.68,4.16,3.84,7,7,7,7,4.06,5.08,5.32,3.88,3.88,7.5,7.2,6.9,7.3,(2) agree,Yes,No,Yes,"[""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,3,4,Catholic,,Meat-eater,Very interesting,13.32,0.923076923,49,Male,Northeast,Hispanic,8,67500,143,0,0,0,1,1,0,0,0,0.4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,4,6,6,6,6,6,6,6,some_college,35_54,50000_74999,1.618039996
6,2,4,4,1,1,7,7,1,4,3,3,5,7,4,1,6,3,6,4,6,1,3.04,1,1,1,1,3.12,1,1,5,5,0,0,54,23,7,3,4,4,4,6,1,1,4,1,5,5,4,7,4,No,Not sure,1000000,1,1,1,1,1,1,1.28,1,7,7,7,7,4,1,1,7,1.3,0,0,0,0,(2) agree,Yes,Yes,Yes,"[""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status"",""Had a conversation with a family member or friend about robots/AIs""]",1,4,1,Catholic,,Vegetarian,Submit,9.77,0.923076923,29,Female,South,Hispanic,10,47500,144,0,0,1,1,1,0,0,1,0.6,5,2,,,1,1,6,6,1,,3,3,4,6,,1,5,3,5,,5,6,3,,,6,6,6,6,bachelors,18_34,25000_49999,0.692836149
5,3,2,5,6,3,3,6,3,3,5,2,6,5,7,5,6,2,5,5,6,1.84,2.32,3.8,1.4,1.56,1,3.56,1,2.24,5,3.88,33,35,63,37,5,2,5,6,5,1,1,5,6,7,7,7,3,4,1,Yes,Yes,10,10,100,4.2,2.32,3.76,2.6,3.56,4.36,7,5,5,5,6.04,2.86,2.08,2.68,4.96,1.1,2,3,1.8,(2) agree,Yes,No,Yes,"[""None of the above""]",0,2,3,Catholic,,Meat-eater,Very cool survey,21.9,0.923076923,36,Female,South,Hispanic,10,112500,145,0,0,0,0,0,1,0,0,0,4,3,2,4,5,3,3,5,3,3,4,2,5,4,6,4,5,2,4,4,5,4,2,4,5,6,4,4,4,bachelors,35_54,100000_,0.904754998
3,2,3,2,3,3,6,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3.68,2.68,3.56,3.52,3.36,3.44,2.6,2.2,1.96,2.36,2.16,24,25,69,26,7,3,3,3,1,6,3,4,6,6,5,4,5,5,5,Not sure,No,50,10,34,3.44,2.08,2.4,2.48,2.52,3.8,7,7,7,7,1.78,1.12,1,1.42,4.66,1.9,2.2,3.2,1.1,(2) agree,No,No,No,"[""None of the above""]",0,0,1.76,None,,Meat-eater,,6.15,0.923076923,63,Male,South,Hispanic,10,175000,146,0,0,0,0,0,1,1,0,0,3,2,3,2,3,3,5,2,3,2,3,2,3,3,2,3,3,3,2,3,2,6,3,3,3,6,6,6,6,bachelors,55_,100000_,1.095221489
5,2,7,7,5,3,3,3,1,1,3,1,2,1,2,2,1,1,1,1,1,4.64,3.28,3.32,3.96,3.08,3.96,3.44,3.72,3.28,4.28,3.2,38,63,63,60,5,5,5,5,7,3,5,3,5,7,5,3,4,1,1,Not sure,Not sure,5,25,24,2.64,3.44,2.76,3.44,3.4,3.64,3,5,3,5,3.76,1.72,4.36,2.98,3.16,3.8,3.9,2.7,3.2,(2) agree,No,No,Yes,"[""None of the above""]",0,0,3.64,Protestant,,Meat-eater,,8.43,0.923076923,66,Female,West,Hispanic,9,47500,147,0,0,0,0,0,1,0,0,0,4,2,6,6,4,3,3,3,1,1,3,1,2,1,2,2,1,1,1,1,1,4,4,4,4,3,4,3,4,associates,55_,25000_49999,0.721749665
4,3,3,4,2,2,5,4,4,4,4,4,5,3,5,3,3,1,4,4,5,2.8,3.28,2.72,2.52,3.48,3.36,3.44,2.84,3.44,3.44,3.72,48,60,70,65,5,2,3,3,4,3,4,5,3,5,3,4,4,2,2,No,Not sure,100,100,42,2.84,2.36,3.2,2.76,3.08,2.84,3,3,5,5,4.36,2.14,3.7,4.6,4.3,3.3,3.6,4.3,2.5,(2) agree,No,No,No,"[""None of the above""]",1,1,3,Catholic,,Meat-eater,,24.17,0.923076923,29,Male,Northeast,Hispanic,12,52500,148,0,0,0,0,0,1,0,0,0,,3,3,,2,2,4,,,,,,4,3,4,3,3,1,,,4,4,2,3,3,3,3,4,4,post_grad,18_34,50000_74999,1.192864235
5,6,1,6,6,6,2,1,2,3,6,5,2,2,5,5,6,5,2,2,5,2.24,3.56,3.56,4.04,3.56,3.84,4.2,4.68,4.12,4.2,4.24,74,75,20,73,7,6,6,3,4,2,2,2,6,5,2,1,3,6,2,No,Not sure,0,0,68,2.56,2.36,3.72,3.76,3.72,3.72,6,7,6,1,5.02,5.32,2.92,3.1,4.72,6.2,3.3,6.2,3.7,(2) agree,Yes,No,Yes,"[""Saw a video, gif, or other media of a robot being physically abused or attacked by humans"",""Had a conversation with a robot/AI"",""Read a book or article that discussed AI ethics or moral status""]",5,2,3.16,Protestant,,Meat-eater,Ty,7.58,0.923076923,34,Male,West,Hispanic,10,32500,149,0,1,1,1,0,0,0,0,0.6,4,5,1,5,5,5,2,1,2,3,5,4,2,2,4,4,5,4,2,2,4,6,5,5,3,5,6,5,1,bachelors,18_34,25000_49999,0.844911888
